Date,Depth,d2H_water,d18O_water,Sample_method
20240414,0.1,-75.11,-11.08,Nansen_bottle
20240414,1,-74.73,-11,Nansen_bottle
20240422,1,-72.07,-10.78,Nansen_bottle
20240422,2,-72.41,-10.84,Nansen_bottle
20240422,3,-71.87,-10.72,Nansen_bottle
20240422,4,-72.08,-10.8,Nansen_bottle
20240422,5,-71.63,-10.72,Nansen_bottle
20240422,6,-71.8,-10.7,Nansen_bottle
20240422,6.25,-72.03,-10.71,Nansen_bottle
20240612,1,-62.09,-8.95,Nansen_bottle
20240612,2,-62.35,-8.94,Nansen_bottle
20240612,3,-62.41,-9.04,Nansen_bottle
20240612,4,-62.27,-9.02,Nansen_bottle
20240612,5,-65.87,-9.64,Nansen_bottle
20240612,6,-68.79,-10.15,Nansen_bottle
20240612,7,-69.11,-10.17,Nansen_bottle
20240612,7.65,-67.4,-9.94,Nansen_bottle
20240801,1,-51.75,-7.43,Nansen_bottle
20240801,2,-52.31,-7.29,Nansen_bottle
20240801,3,-58.25,-8.56,Nansen_bottle
20240801,4,-56.31,-8.16,Nansen_bottle
20240801,5,-62.41,-9.17,Nansen_bottle
20240801,6,-58.94,-7.51,Nansen_bottle
20240801,7,-67.73,-9.98,Nansen_bottle
20240801,7.26,-67.68,-10.02,Nansen_bottle
20240922,1,-52.61,-7.34,Nansen_bottle
20240922,2,-51.41,-7.26,Nansen_bottle
20240922,3,-52.03,-7.45,Nansen_bottle
20240922,4,-53.15,-7.6,Nansen_bottle
20240922,5,-53.61,-7.69,Nansen_bottle
20240922,6,-53.8,-7.72,Nansen_bottle
20240922,7,-55.2,-7.9,Nansen_bottle
20240922,7.2,-54.98,-7.79,Nansen_bottle
20241004,1,-51.98,-7.34,Nansen_bottle
20241004,2,-51.33,-7.23,Nansen_bottle
20241004,3,-51.72,-7.28,Nansen_bottle
20241004,4,-51.53,-7.3,Nansen_bottle
20241004,5,-52.21,-7.37,Nansen_bottle
20241004,6,-52.6,-7.44,Nansen_bottle
20241004,7,-52.18,-7.5,Nansen_bottle
20241117,0.1,-51.62,-7.37,Nansen_bottle
20241117,1,-52.99,-7.7,Nansen_bottle
20241117,2,-50.45,-7.3,Nansen_bottle
20241117,3,-51,-7.39,Nansen_bottle
20241117,4,-52.03,-7.51,Nansen_bottle
20241117,5,-51.03,-7.42,Nansen_bottle
20241117,6,-49.82,-7.21,Nansen_bottle
20241117,7,-51.37,-7.35,Nansen_bottle
20241117,7.5,-52.78,-7.57,Nansen_bottle
